"work","citedwork"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2860296076"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2792710574"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2803430447"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2782710815"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2783808730"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2884304605"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2884902032"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2807410315"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2792105920"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2883358359"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2782472870"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2791260668"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2766149272"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2782879922"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2883300965"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2806780369"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2790248187"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2779258885"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2827543800"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2885761217"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2811445828"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2766032796"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2808317537"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2790881625"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2885663024"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2788402243"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2793177452"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2789450843"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2794968257"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2805861692"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2799378760"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2891498491"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2884102832"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2887370435"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2783399708"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2793518800"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2782342716"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2800477374"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2791998350"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2777459838"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2889408874"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2807815519"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2792660504"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2784033799"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2795213917"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2804856250"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2792102985"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2794611146"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2782834076"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2793473305"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2883593500"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2800987852"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2797531413"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2793195158"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2803634211"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2807602551"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2786573347"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2801996706"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2799602777"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2791517592"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2791749604"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2793437963"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2793336784"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2797070766"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2791470677"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2796415558"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2805832104"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2781452785"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2809014346"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2765814183"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2766287921"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2809226743"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2885959801"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2802502264"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2775464239"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2781199767"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2886878284"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2791148827"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2793902291"
"https://semopenalex.org/work/W2891702592","https://semopenalex.org/work/W2783576981"
"https://semopenalex.org/work/W2809184797","https://semopenalex.org/work/W2623905060"
"https://semopenalex.org/work/W2897249717","https://semopenalex.org/work/W2783142785"
"https://semopenalex.org/work/W2794137041","https://semopenalex.org/work/W2785803176"
"https://semopenalex.org/work/W2794137041","https://semopenalex.org/work/W2788975052"
"https://semopenalex.org/work/W2794137041","https://semopenalex.org/work/W2790362775"
"https://semopenalex.org/work/W2794137041","https://semopenalex.org/work/W2769376007"
"https://semopenalex.org/work/W2794137041","https://semopenalex.org/work/W2770844838"
"https://semopenalex.org/work/W2783023875","https://semopenalex.org/work/W2767782888"
"https://semopenalex.org/work/W2900166571","https://semopenalex.org/work/W2887157979"
"https://semopenalex.org/work/W2900166571","https://semopenalex.org/work/W2888945681"
"https://semopenalex.org/work/W2900166571","https://semopenalex.org/work/W2792724222"
"https://semopenalex.org/work/W2900166571","https://semopenalex.org/work/W2790059016"
"https://semopenalex.org/work/W2900166571","https://semopenalex.org/work/W2809642886"
"https://semopenalex.org/work/W2900166571","https://semopenalex.org/work/W2793513538"
"https://semopenalex.org/work/W2914129196","https://semopenalex.org/work/W2792690644"
"https://semopenalex.org/work/W2886403656","https://semopenalex.org/work/W2793026324"
"https://semopenalex.org/work/W2886403656","https://semopenalex.org/work/W2790388651"
"https://semopenalex.org/work/W2886403656","https://semopenalex.org/work/W2796781998"
"https://semopenalex.org/work/W2886403656","https://semopenalex.org/work/W2801166095"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2784007128"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2794137041"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2786900201"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2795670954"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2791598228"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2791406043"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2793468148"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2790408614"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2786818729"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2782080447"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2751864220"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2789701819"
"https://semopenalex.org/work/W2806333505","https://semopenalex.org/work/W2769069311"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2765314233"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2791483720"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2793167197"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2782183686"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2797855256"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2790795290"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2798160602"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2774533844"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2783246934"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2792557198"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2766903152"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2792937256"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2782998220"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2781484625"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2795494304"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2782930756"
"https://semopenalex.org/work/W2887577080","https://semopenalex.org/work/W2804786344"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2781525129"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2801064209"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2791506170"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2796643083"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2794625586"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2801287827"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2808570189"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2740046239"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2782007611"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2781001240"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2780958320"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2791328450"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2783808730"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2780310856"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2793340380"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2794195823"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2776208597"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2796009291"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2789637558"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2885157784"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2778263670"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2774046898"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2785532195"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2794968257"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2806821812"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2795132984"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2787080442"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2791342926"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2795371811"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2792345771"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2792513158"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2803016901"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2778855703"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2802916637"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2763857535"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2793373651"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2809828433"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2806885046"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2636501113"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2886791966"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2776575854"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2789470260"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W4252140565"
"https://semopenalex.org/work/W2890509602","https://semopenalex.org/work/W2800879812"
